0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,1886.8,961.9,1871.8,1905.1,1088.3,1708.1,2089.5,1589.4,1501.3,1921.2,1741.4,1539.7,1338.3,1822.4,1402.0,2070.1,1586.9,1925.0,1043.6,1945.1,2080.2,2005.4,2408.5,1763.6,830.9,1961.9,4907.3,6319.9,6615.3,4472.3,6085.5,743.7,804.7,826.2,2006.4,30576.6,9885.2,10897.1,8411.1,7415.4,7163.7,19162.9,10224.2,18262.6,15206.9,5944.0,5943.5,15389.5,1398.5
1886.3,0.0,1326.7,537.4,1141.7,1423.9,892.4,340.2,768.7,830.7,1089.3,925.7,839.4,1158.5,937.5,880.2,318.5,840.9,93.7,1295.8,1055.5,882.5,645.5,721.6,224.6,1109.9,640.1,6257.9,7670.5,7965.9,5822.9,7436.1,2009.8,2070.8,2022.7,3371.9,29476.2,8784.8,9221.8,6735.8,6315.0,6063.3,20513.5,9123.8,17162.2,14106.5,4843.6,4843.1,14111.4,1078.2
827.9,1322.4,0.0,1004.0,982.6,155.8,785.6,1453.7,710.7,701.8,998.7,818.9,617.2,415.8,899.9,479.5,1404.2,664.4,1360.6,106.2,1022.6,1157.7,1829.0,1540.7,1322.3,1152.5,1039.4,5365.0,6777.6,7073.0,4930.0,6543.2,1431.9,1492.9,714.6,2126.4,30702.3,9934.4,10075.5,7589.5,7541.1,7289.4,19851.1,10349.9,18311.8,15256.1,5764.4,5763.9,14965.1,476.0
1838.4,546.8,1029.1,0.0,732.2,1126.3,489.9,508.4,471.1,532.2,682.1,546.1,541.8,860.9,475.4,582.6,460.0,511.0,585.0,998.2,599.5,532.3,1023.3,595.4,546.7,1146.4,173.4,6301.5,7714.1,8009.5,5866.5,7479.7,2053.4,2114.4,1725.1,3136.9,29757.0,8989.1,9130.2,6644.2,6595.8,6344.1,20557.1,9404.6,17366.5,14310.8,4819.1,4818.6,14019.8,780.6
1785.8,1180.6,976.5,747.2,0.0,1013.8,353.0,1129.1,686.3,723.1,125.2,255.1,514.4,626.1,312.1,562.3,1080.7,427.5,1218.8,945.6,246.7,459.2,1597.5,1169.6,1180.5,1584.6,643.8,6322.9,7735.5,8030.9,5887.9,7501.1,2389.8,2450.8,1672.5,3084.3,30331.2,9563.3,9704.4,7218.4,7170.0,6918.3,20809.0,9978.8,17940.7,14885.0,5393.3,5392.8,14594.0,596.6
964.5,1412.1,155.0,1093.7,1010.1,0.0,875.3,1543.4,800.4,791.5,1036.0,908.6,706.9,435.9,989.6,569.2,1493.9,754.1,1450.3,131.3,1112.3,1247.4,1918.7,1630.4,1412.0,1289.1,1129.1,5501.6,6914.2,7209.6,5066.6,6679.8,1568.5,1629.5,832.0,2263.0,30792.0,10024.1,10165.2,7679.2,7630.8,7379.1,19987.7,10439.6,18401.5,15345.8,5854.1,5853.6,15054.8,513.6
1539.5,898.1,730.2,467.6,346.4,827.4,0.0,900.4,371.7,408.5,281.1,101.3,200.8,572.8,190.4,283.7,852.0,115.0,936.3,699.3,312.2,460.1,1404.7,987.4,898.0,1270.0,393.1,6076.6,7489.2,7784.6,5641.6,7254.8,2143.5,2204.5,1426.2,2838.0,30149.0,9381.1,9522.2,7036.2,6987.8,6736.1,20562.7,9796.6,17758.5,14702.8,5211.1,5210.6,14411.8,488.3
2135.2,377.1,1405.2,486.5,1043.2,1502.4,868.7,0.0,847.2,908.3,1033.0,915.8,917.9,1237.0,828.5,958.7,140.0,880.7,391.2,1374.3,862.9,687.2,855.2,472.7,526.9,1358.8,514.7,6506.8,7919.4,8214.8,6071.8,7685.0,2258.7,2319.7,2101.2,3513.0,29588.9,8897.5,9073.3,6587.3,6427.7,6176.0,20762.4,9236.5,17274.9,14219.2,4762.2,4761.7,13962.9,1156.7
1427.8,784.8,715.9,466.4,679.2,813.1,407.7,916.1,0.0,78.8,615.6,435.8,271.2,558.5,461.7,235.7,866.6,291.1,823.0,685.0,592.5,728.1,1291.4,1003.1,784.7,945.9,546.3,5964.9,7377.5,7672.9,5529.9,7143.1,1852.9,1913.9,1411.9,2726.3,30164.7,9396.8,9537.9,7051.9,7003.5,6751.8,20356.6,9812.3,17774.2,14718.5,5226.8,5226.3,14427.5,471.2
1350.6,839.5,697.3,518.0,739.5,794.5,461.1,967.7,89.5,0.0,674.2,494.4,334.0,539.9,524.5,229.5,919.3,353.9,877.7,666.4,655.3,790.9,1346.1,1054.7,839.4,867.1,599.7,5887.7,7300.3,7595.7,5452.7,7065.9,1774.1,1835.1,1393.3,2649.1,30216.3,9448.4,9589.5,7103.5,7055.1,6803.4,20277.8,9863.9,17825.8,14770.1,5278.4,5277.9,14479.1,455.4
