0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.0,224037.5,6510.3,1728.6,1593.5,1295.9,1819.5,2087.4,1893.2,1876.7,2329.3,1365.2,1805.2,1852.1,1989.1,840.6,1251.7,1758.7,1791.8,1382.3,1775.3,6270.0,2354.2,1234.3,791.6,6667.8,19578.5,18203.8,15288.0,2243.3,15453.5,1887.6,14644.7,23796.6,1885.2,1957.4,1344.7,6277.9,6242.7,10625.1,19889.7,4698.7,1967.3,1916.9,1964.5,2020.1,6162.1,6168.7,6121.6
223685.9,0.0,221215.1,225143.2,224940.3,224710.5,225234.1,224720.4,225083.5,224057.7,223627.1,224700.3,224704.7,225214.3,224822.5,224255.2,224666.3,225104.0,225206.4,224796.9,225030.7,220179.5,224094.5,224648.9,224158.8,221434.5,205097.3,210335.8,212875.9,224368.4,216193.3,223798.8,221970.2,206408.1,224655.8,225099.6,224652.2,221032.5,220757.8,226173.7,206059.5,224164.7,224715.5,224875.4,225119.6,224632.3,219644.6,219599.7,221042.9
6540.2,221422.5,0.0,7865.9,7730.8,7433.2,7956.8,8195.3,8030.5,7755.2,8207.8,7532.1,7683.7,7989.4,8126.4,6906.7,7389.0,7896.0,7929.1,7519.6,7912.6,1156.2,8232.7,7371.6,6511.7,291.6,17257.4,22417.3,19501.5,8121.8,19667.0,7766.1,19637.4,28010.1,7763.7,8094.7,7506.5,323.5,563.1,15617.8,24103.2,10577.2,8007.5,8054.2,8101.8,8007.5,10375.6,10382.2,420.2
1644.2,225002.8,7784.3,0.0,341.0,596.1,90.9,604.6,208.8,1395.3,2225.5,593.6,699.5,123.5,503.9,1080.1,547.9,238.1,63.2,406.6,274.0,7544.0,1365.6,679.3,1454.6,7941.8,21083.0,17928.8,15013.0,1133.0,14704.9,1783.8,13498.9,23521.6,767.6,228.8,676.1,7551.9,7516.7,9479.3,19691.2,3552.9,575.1,437.8,298.3,627.0,5963.6,5970.2,7395.6
1533.4,224739.2,7673.5,390.2,0.0,524.2,438.2,616.8,433.6,1056.0,1886.2,342.8,413.1,409.4,518.5,969.3,461.8,299.1,450.1,312.4,304.7,7433.2,1102.0,685.8,1343.8,7831.0,20940.7,17665.2,14749.4,869.4,14441.3,1444.5,13235.3,23258.0,481.2,592.1,427.0,7441.1,7405.9,9215.7,19427.6,3289.3,496.7,446.3,612.1,529.1,5700.0,5706.6,7284.8
1157.9,225055.7,7298.0,540.7,477.6,0.0,631.6,971.5,749.5,1402.0,2232.2,397.5,802.9,664.2,873.2,593.8,61.9,642.8,603.9,266.4,659.4,7057.7,1496.4,234.6,968.3,7455.5,20596.7,18059.6,15143.8,1263.8,14835.7,1790.5,13629.7,23652.4,875.1,769.5,370.2,7065.6,7030.4,9610.1,19822.0,3683.7,851.4,801.0,776.6,904.2,6094.4,6101.0,6909.3
1730.1,224954.2,7870.2,175.5,381.8,673.9,0.0,558.7,134.0,1367.9,2198.1,667.5,669.4,37.3,423.8,1166.0,625.7,179.5,119.8,502.8,215.4,7629.9,1317.0,757.1,1540.5,8027.7,21168.9,17880.2,14964.4,1084.4,14656.3,1756.4,13450.3,23473.0,737.5,188.1,750.0,7637.8,7602.6,9430.7,19642.6,3504.3,499.3,357.7,260.1,551.2,5915.0,5921.6,7481.5
1989.2,224548.0,8129.3,582.9,620.7,980.0,551.5,0.0,432.8,1209.7,1803.6,913.3,667.7,518.2,154.6,1425.1,917.6,427.0,563.4,768.2,403.2,7889.0,910.8,1141.6,1799.6,8286.8,21414.8,17474.0,14558.2,678.2,14250.1,1594.9,13044.1,23066.8,676.6,427.5,995.8,7896.9,7861.7,9024.5,19236.4,3098.1,268.9,254.4,447.5,260.7,5508.8,5515.4,7740.6
1760.9,224887.7,7901.0,230.1,392.7,751.7,194.7,478.4,0.0,1333.2,2143.3,685.0,634.7,161.4,332.5,1196.8,689.3,158.4,206.6,530.0,159.4,7660.7,1250.5,863.4,1571.3,8058.5,21199.7,17813.7,14897.9,1017.9,14589.8,1721.7,13383.8,23406.5,702.8,193.9,767.5,7668.6,7633.4,9364.2,19576.1,3437.8,441.1,279.5,251.6,494.8,5848.5,5855.1,7512.3
1875.4,223856.8,7850.0,1345.8,1071.0,1373.0,1328.3,1148.2,1282.1,0.0,911.3,1190.0,693.1,1299.5,1250.3,1818.1,1310.6,1189.2,1340.2,1161.2,1153.7,7609.7,522.3,1534.6,2121.5,8007.5,20918.2,16859.3,13943.5,653.3,14086.3,469.6,12880.3,22452.1,682.3,1441.1,1261.5,7617.6,7582.4,8860.7,18545.2,2934.3,1102.2,1264.4,1461.1,1029.8,4817.6,4824.2,7461.3
