generations,best_min_cost,time_at_best_min_cost,best_min_time,cost_at_best_min_time,no_change_counter
10000,18517.951919999996,10043.822916666664,8819.870833333332,24448.89304,0
20000,17945.9852,6493.816666666668,5144.220833333334,20923.476079999993,0
30000,8074.382160000002,3636.039583333333,1742.9645833333334,9506.24792,0
40000,8074.382160000002,3636.039583333333,1742.9645833333334,9506.24792,1
50000,8074.382160000002,3636.039583333333,1742.9645833333334,9506.24792,2
60000,8074.382160000002,3636.039583333333,1742.9645833333334,9506.24792,3
70000,6334.09504,5026.545833333334,883.1833333333333,6668.3448,0
80000,5368.51224,2590.1625,826.0145833333332,6677.978319999999,0
90000,3238.4393600000003,611.4520833333332,431.0645833333333,3940.3852799999995,0
100000,3238.4393600000003,611.4520833333332,431.0645833333333,3940.3852799999995,1
110000,3238.4393600000003,611.4520833333332,431.0645833333333,3940.3852799999995,2
120000,3238.4393600000003,611.4520833333332,431.0645833333333,3940.3852799999995,3
130000,3192.41416,1470.877083333333,352.3020833333333,5251.105599999999,0
140000,3192.41416,1470.877083333333,352.3020833333333,5251.105599999999,1
150000,3192.41416,1470.877083333333,352.3020833333333,5251.105599999999,2
160000,3192.41416,1470.877083333333,352.3020833333333,5251.105599999999,3
170000,3192.41416,1470.877083333333,352.3020833333333,5251.105599999999,4
180000,3192.41416,1470.877083333333,352.3020833333333,5251.105599999999,5
190000,3192.41416,1470.877083333333,352.3020833333333,5251.105599999999,6
200000,3192.41416,1470.877083333333,352.3020833333333,5251.105599999999,7
210000,3192.41416,1470.877083333333,352.3020833333333,5251.105599999999,8
220000,3192.41416,1470.877083333333,352.3020833333333,5251.105599999999,9
230000,3192.41416,1470.877083333333,305.4583333333333,6192.463679999999,0
240000,3141.488479999999,988.0770833333331,305.4583333333333,6192.463679999999,0
250000,3141.488479999999,988.0770833333331,305.4583333333333,6192.463679999999,1
260000,3141.488479999999,988.0770833333331,305.4583333333333,6192.463679999999,2
270000,3141.488479999999,988.0770833333331,305.4583333333333,6192.463679999999,3
280000,3141.488479999999,988.0770833333331,305.4583333333333,6192.463679999999,4
290000,3141.488479999999,988.0770833333331,305.4583333333333,6192.463679999999,5
300000,3141.488479999999,988.0770833333331,305.4583333333333,6192.463679999999,6
310000,3141.488479999999,988.0770833333331,305.4583333333333,6192.463679999999,7
320000,3141.488479999999,988.0770833333331,305.4583333333333,6192.463679999999,8
330000,3141.488479999999,988.0770833333331,305.4583333333333,6192.463679999999,9
340000,3141.488479999999,988.0770833333331,302.23333333333335,6603.733759999999,0
350000,3141.488479999999,988.0770833333331,302.23333333333335,6603.733759999999,1
360000,3141.488479999999,988.0770833333331,302.23333333333335,6603.733759999999,2
370000,3141.488479999999,988.0770833333331,302.23333333333335,6603.733759999999,3
380000,3141.488479999999,988.0770833333331,302.23333333333335,6603.733759999999,4
390000,3141.488479999999,988.0770833333331,302.23333333333335,6603.733759999999,5
400000,3141.488479999999,988.0770833333331,302.23333333333335,6603.733759999999,6
410000,3141.488479999999,988.0770833333331,302.23333333333335,6603.733759999999,7
420000,3141.488479999999,988.0770833333331,302.23333333333335,6603.733759999999,8
430000,2757.03064,263.0520833333333,111.96458333333332,4698.26448,0
440000,2757.03064,263.0520833333333,111.96458333333332,4698.26448,1
450000,2757.03064,263.0520833333333,111.96458333333332,4698.26448,2
460000,2757.03064,263.0520833333333,111.96458333333332,4698.26448,3
470000,2757.03064,263.0520833333333,111.96458333333332,4698.26448,4
480000,2757.03064,263.0520833333333,111.96458333333332,4698.26448,5
490000,2757.03064,263.0520833333333,111.96458333333332,4698.26448,6
500000,2757.03064,263.0520833333333,111.96458333333332,4698.26448,7
